Entry Time,Exit Time,Type,Entry Price,Exit Price,Quantity,PNL,Outcome,Balance After Trade,cumulative_pnl,cumulative_balance
2023-04-03 20:17:00,2023-04-03 20:45:00,long,13266.0,13261.0,1,-115.0,SL,24610.0,-75390.0,24610.0
2023-04-03 23:26:00,2023-04-03 23:51:00,short,13253.25,13248.25,1,85.0,TP,24695.0,-75305.0,24695.0
2023-04-04 01:00:00,2023-04-04 01:06:00,short,13247.0,13252.0,1,-115.0,SL,24580.0,-75420.0,24580.0
2023-04-04 01:08:00,2023-04-04 01:22:00,short,13249.75,13244.75,1,85.0,TP,24665.0,-75335.0,24665.0
2023-04-04 01:29:00,2023-04-04 01:34:00,short,13248.0,13243.0,1,85.0,TP,24750.0,-75250.0,24750.0
2023-04-04 06:29:00,2023-04-04 06:33:00,short,13251.5,13246.5,1,85.0,TP,24835.0,-75165.0,24835.0
2023-04-04 09:38:00,2023-04-04 09:40:00,short,13303.25,13308.25,1,-115.0,SL,24720.0,-75280.0,24720.0
2023-04-04 10:18:00,2023-04-04 10:30:00,short,13332.75,13337.75,1,-115.0,SL,24605.0,-75395.0,24605.0
2023-04-04 13:36:00,2023-04-04 13:38:00,long,13281.75,13276.75,1,-115.0,SL,24490.0,-75510.0,24490.0
2023-04-04 15:38:00,2023-04-04 15:39:00,short,13235.5,13230.5,1,85.0,TP,24575.0,-75425.0,24575.0
2023-04-04 16:36:00,2023-04-04 16:37:00,long,13217.25,13212.25,1,-115.0,SL,24460.0,-75540.0,24460.0
2023-04-04 16:51:00,2023-04-04 16:52:00,long,13223.0,13218.0,1,-115.0,SL,24345.0,-75655.0,24345.0
2023-04-04 16:59:00,2023-04-04 17:00:00,short,13220.25,13215.25,1,85.0,TP,24430.0,-75570.0,24430.0
2023-04-04 18:04:00,2023-04-04 18:05:00,short,13229.75,13234.75,1,-115.0,SL,24315.0,-75685.0,24315.0
2023-04-04 18:08:00,2023-04-04 18:09:00,short,13229.75,13224.75,1,85.0,TP,24400.0,-75600.0,24400.0
2023-04-04 19:17:00,2023-04-04 19:18:00,short,13194.0,13199.0,1,-115.0,SL,24285.0,-75715.0,24285.0
2023-04-04 20:31:00,2023-04-04 22:00:00,long,13227.25,13232.25,1,85.0,TP,24370.0,-75630.0,24370.0
2023-04-04 22:00:00,2023-04-04 22:34:00,short,13229.75,13234.75,1,-115.0,SL,24255.0,-75745.0,24255.0
2023-04-04 23:57:00,2023-04-05 00:02:00,long,13239.75,13244.75,1,85.0,TP,24340.0,-75660.0,24340.0
2023-04-05 00:30:00,2023-04-05 00:50:00,long,13240.0,13235.0,1,-115.0,SL,24225.0,-75775.0,24225.0
2023-04-05 09:16:00,2023-04-05 09:20:00,short,13196.5,13191.5,1,85.0,TP,24310.0,-75690.0,24310.0
2023-04-05 09:39:00,2023-04-05 09:47:00,short,13189.5,13194.5,1,-115.0,SL,24195.0,-75805.0,24195.0
2023-04-05 11:03:00,2023-04-05 11:23:00,short,13203.25,13208.25,1,-115.0,SL,24080.0,-75920.0,24080.0
2023-04-05 11:43:00,2023-04-05 11:45:00,long,13213.75,13218.75,1,85.0,TP,24165.0,-75835.0,24165.0
2023-04-05 15:18:00,2023-04-05 15:20:00,short,13038.25,13033.25,1,85.0,TP,24250.0,-75750.0,24250.0
2023-04-05 15:21:00,2023-04-05 15:22:00,long,13043.25,13048.25,1,85.0,TP,24335.0,-75665.0,24335.0
2023-04-05 16:01:00,2023-04-05 16:03:00,short,13043.75,13048.75,1,-115.0,SL,24220.0,-75780.0,24220.0
2023-04-05 17:08:00,2023-04-05 17:13:00,short,13026.0,13031.0,1,-115.0,SL,24105.0,-75895.0,24105.0
2023-04-05 20:38:00,2023-04-05 22:00:00,long,13070.5,13065.5,1,-115.0,SL,23990.0,-76010.0,23990.0
2023-04-05 22:33:00,2023-04-05 22:53:00,long,13063.0,13068.0,1,85.0,TP,24075.0,-75925.0,24075.0
2023-04-06 03:14:00,2023-04-06 03:42:00,long,13029.75,13034.75,1,85.0,TP,24160.0,-75840.0,24160.0
2023-04-06 04:07:00,2023-04-06 04:41:00,short,13025.5,13030.5,1,-115.0,SL,24045.0,-75955.0,24045.0
2023-04-06 06:30:00,2023-04-06 06:33:00,short,13042.5,13047.5,1,-115.0,SL,23930.0,-76070.0,23930.0
2023-04-06 06:42:00,2023-04-06 06:51:00,long,13047.25,13052.25,1,85.0,TP,24015.0,-75985.0,24015.0
2023-04-06 09:01:00,2023-04-06 09:02:00,short,13051.0,13056.0,1,-115.0,SL,23900.0,-76100.0,23900.0
2023-04-06 09:41:00,2023-04-06 09:43:00,short,13047.25,13042.25,1,85.0,TP,23985.0,-76015.0,23985.0
2023-04-06 12:28:00,2023-04-06 12:30:00,long,13041.0,13046.0,1,85.0,TP,24070.0,-75930.0,24070.0
2023-04-06 12:51:00,2023-04-06 12:52:00,short,13030.25,13025.25,1,85.0,TP,24155.0,-75845.0,24155.0
